date,conditional_volatility,regime
2013-12-12,0.742721829776684,medium
2013-12-13,0.7361187920597998,medium
2013-12-16,0.7106016764747419,low
2013-12-17,0.6869918178561144,low
2013-12-18,0.6799366308723208,low
2013-12-19,0.6588331185490549,low
2013-12-20,0.6403903908458943,low
2013-12-23,0.6226206307179627,low
2013-12-24,0.6063910506143866,low
2013-12-26,0.5915936093001412,low
2013-12-27,0.5781247390376528,low
2013-12-30,0.5663784991345779,low
2013-12-31,0.5554883577648834,low
2014-01-02,0.5453626789110614,low
2014-01-03,0.6597908784860886,low
2014-01-06,0.6408004941655974,low
2014-01-07,0.6335933167321941,low
2014-01-08,0.616409385999611,low
2014-01-09,0.6010062381267428,low
2014-01-10,0.5866896635478629,low
2014-01-13,0.5736661615865174,low
2014-01-14,0.781101386318001,medium
2014-01-15,0.7519453065478802,medium
2014-01-16,0.7250497800348586,medium
2014-01-17,0.7034058998697463,low
2014-01-21,0.7022427820397055,low
2014-01-22,0.6793098731648186,low
2014-01-23,0.6582582658326463,low
2014-01-24,0.7463204980095206,medium
2014-01-27,1.1511027665278348,high
2014-01-28,1.1167762361826232,high
2014-01-29,1.0637720457066693,medium
2014-01-30,1.106368703459952,high
2014-01-31,1.0540625176773244,medium
2014-02-03,1.0442907753075192,medium
2014-02-04,1.3991811421950624,high
2014-02-05,1.3278091578399596,high
2014-02-06,1.2645642759281945,high
2014-02-07,1.2018270983505046,high
2014-02-10,1.1431840348828062,high
2014-02-11,1.088416952899312,high
2014-02-12,1.0373192512007203,medium
2014-02-13,0.9899133231024697,medium
2014-02-14,0.945561050505565,medium
2014-02-18,0.9043195756364173,medium
2014-02-19,0.8660198250586743,medium
2014-02-20,0.8781127743113728,medium
2014-02-21,0.8417099623007286,medium
2014-02-24,0.8130187336081512,medium
2014-02-25,0.781435152017446,medium
2014-02-26,0.755166107453092,medium
2014-02-27,0.7280686902859292,medium
2014-02-28,0.7030584205424705,low
2014-03-03,0.6800592570022451,low
2014-03-04,0.7331727491254422,medium
2014-03-05,0.7077567354727988,low
2014-03-06,0.6844766667907605,low
2014-03-07,0.6629980115192856,low
2014-03-10,0.6433074755303337,low
2014-03-11,0.6259580966214403,low
2014-03-12,0.649333960092442,low
2014-03-13,0.6307993583579696,low
2014-03-14,0.7950897458808475,medium
2014-03-17,0.7755824185998815,medium
2014-03-18,0.746850939258668,medium
2014-03-19,0.7203549706866468,low
2014-03-20,0.7459823449470819,medium
2014-03-21,0.7195546433565857,low
2014-03-24,0.7078660276052843,low
2014-03-25,0.7174177986538165,low
2014-03-26,0.6932592263417064,low
2014-03-27,0.7372878978453284,medium
2014-03-28,0.7171614611275952,low
2014-03-31,0.6930234720961906,low
2014-04-01,0.670842527252884,low
2014-04-02,0.6504949559855561,low
2014-04-03,0.6318615545244888,low
2014-04-04,0.6174575590711197,low
2014-04-07,0.8091210724135833,medium
2014-04-08,0.9061241658593672,medium
2014-04-09,0.8676946162036648,medium
2014-04-10,0.8320523878254831,medium
2014-04-11,1.2025034276579167,high
2014-04-14,1.2154260227149667,high
2014-04-15,1.155891183127303,high
2014-04-16,1.1002798363772743,high
2014-04-17,1.0483828945234277,medium
2014-04-21,1.0000020971976284,medium
2014-04-22,0.9549491438756346,medium
2014-04-23,0.9130448715502679,medium
2014-04-24,0.8801419638443851,medium
2014-04-25,0.8435914501322612,medium
2014-04-28,0.8828992305820308,medium
2014-04-29,0.8461482458110344,medium
2014-04-30,0.8120914984300212,medium
2014-05-01,0.7805777930699157,medium
2014-05-02,0.7516214358250078,medium
2014-05-05,0.7277768437548149,medium
2014-05-06,0.7027898205593238,low
2014-05-07,0.7836563291529508,medium
2014-05-08,0.7543041871768122,medium
2014-05-09,0.7303368297174073,medium
2014-05-12,0.7051460668088713,low
2014-05-13,0.6819775210668024,low
2014-05-14,0.6607051880077759,low
2014-05-15,0.6740900951853709,low
2014-05-16,0.7691744578388828,medium
2014-05-19,0.740937865680402,medium
2014-05-20,0.7149074631417055,low
2014-05-21,0.7470840145226096,medium
2014-05-22,0.7205697345335246,low
2014-05-23,0.6961584003297165,low
2014-05-27,0.6737211180654169,low
2014-05-28,0.6531336074008547,low
2014-05-29,0.6367793241334536,low
2014-05-30,0.6193202976355718,low
2014-06-02,0.6033799161937062,low
2014-06-03,0.5888510105566636,low
2014-06-04,0.5761921349307364,low
2014-06-05,0.5641309042226506,low
2014-06-06,0.5531909420050592,low
2014-06-09,0.5432833008842076,low
2014-06-10,0.5343238202048967,low
2014-06-11,0.5266059186508415,low
2014-06-12,0.5429895002509251,low
2014-06-13,0.6170898757729332,low
2014-06-16,0.6013455173845367,low
2014-06-17,0.5869985584162601,low
2014-06-18,0.5739469263074114,low
2014-06-19,0.5620931262948897,low
2014-06-20,0.5513443257893705,low
2014-06-23,0.541612430271314,low
2014-06-24,0.5330259831384133,low
2014-06-25,0.5957339501795544,low
2014-06-26,0.5818910600361495,low
2014-06-27,0.572369390582079,low
2014-06-30,0.5606616856612865,low
2014-07-01,0.5506213181359529,low
2014-07-02,0.5409583527318335,low
2014-07-03,0.5322232658924795,low
2014-07-07,0.5243379265800315,low
2014-07-08,0.5460543385812151,low
2014-07-09,0.618641198276622,low
2014-07-10,0.6027604505943485,low
2014-07-11,0.6163458259644524,low
2014-07-14,0.600666963820919,low
2014-07-15,0.5863807849328982,low
2014-07-16,0.5805498058573779,low
2014-07-17,0.5680876235528141,low
2014-07-18,0.7557173043610266,medium
2014-07-21,0.7285268406088096,medium
2014-07-22,0.7116178969247209,low
2014-07-23,0.6879260448591159,low
2014-07-24,0.6661633433728383,low
2014-07-25,0.6462071235240888,low
2014-07-28,0.6634793023279503,low
2014-07-29,0.6437483192003568,low
2014-07-30,0.6570707345790506,low
2014-07-31,0.6379168948607601,low
2014-08-01,1.0608475523643466,medium
2014-08-04,1.0199454102080014,medium
2014-08-05,0.9735143830418269,medium
2014-08-06,1.0205070910524587,medium
2014-08-07,0.9740770193306361,medium
2014-08-08,0.9623284504590135,medium
2014-08-11,0.9199048788959875,medium
2014-08-12,0.8804874658155183,medium
2014-08-13,0.8475505627017806,medium
2014-08-14,0.8133900968775387,medium
2014-08-15,0.7817785398548286,medium
2014-08-18,0.7526666312269918,medium
2014-08-19,0.7257146442918163,medium
2014-08-20,0.7008920265671553,low
2014-08-21,0.6780689363809558,low
2014-08-22,0.6571201811182197,low
2014-08-25,0.6447374680795915,low
2014-08-26,0.6265951154549586,low
2014-08-27,0.6100185973465778,low
2014-08-28,0.5949441131813455,low
2014-08-29,0.5867487025101472,low
2014-09-02,0.5737198232395602,low
2014-09-03,0.5628188966983985,low
2014-09-04,0.5536189469905244,low
2014-09-05,0.5487027256608811,low
2014-09-08,0.5392230055522852,low
2014-09-09,0.5485882355531146,low
2014-09-10,0.6103256791760975,low
2014-09-11,0.5951787021123579,low
2014-09-12,0.5813858657386258,low
2014-09-15,0.6260331353758342,low
2014-09-16,0.6107760383450832,low
2014-09-17,0.5955891502964529,low
2014-09-18,0.5817593102706035,low
2014-09-19,0.5691862211350139,low
2014-09-22,0.5585568491694165,low
2014-09-23,0.6494962715753492,low
2014-09-24,0.6799739503395077,low
2014-09-25,0.6588673482950603,low
2014-09-26,0.9453497933005787,medium
2014-09-29,0.9041232611333199,medium
2014-09-30,0.8736909301951177,medium
2014-10-01,0.8471807404189804,medium
2014-10-02,0.993716020098535,medium
2014-10-03,0.9491442270952073,medium
2014-10-06,0.9076494947588377,medium
2014-10-07,0.8723779259200799,medium
2014-10-08,1.0602368972679275,medium
2014-10-09,1.0110483486734025,medium
2014-10-10,1.3122643706271035,high
2014-10-13,1.3410130856047011,high
2014-10-14,1.4574358983953917,high
2014-10-15,1.3823797217220564,high
2014-10-16,1.3584984601869732,high
2014-10-17,1.2897211992437043,high
2014-10-20,1.225355858067983,high
2014-10-21,1.1651714134259965,high
2014-10-22,1.1089450697758019,high
2014-10-23,1.1033145442411212,high
2014-10-24,1.0512135519034318,medium
2014-10-27,1.0026396093378593,medium
2014-10-28,0.9601642931082789,medium
2014-10-29,0.9178928675870923,medium
2014-10-30,0.8812352946473809,medium
2014-10-31,0.8446052576524861,medium
2014-11-03,0.8106627205071264,medium
2014-11-04,0.7793908381569828,medium
2014-11-05,0.7613458795322883,medium
2014-11-06,0.7337167169701011,medium
2014-11-07,0.708257550753922,low
2014-11-10,0.6848370779679733,low
2014-11-11,0.6633287047382267,low
